Department_Name,Department_Description
Cardiology,Handles diagnosis and treatment of heart conditions.
Pediatrics,Specialized in medical care for infants and children.
Radiology,"Conducts X-rays, CT scans, and MRIs."
Orthopedics,"Treats bone, joint, and muscle disorders."
Pharmacy,Manages medication dispensing and drug advice.
ENT,"Ear, Nose, and Throat treatment department."
Maternity,"Focuses on pregnancy, childbirth, and postpartum care."
Laboratory,Performs blood tests and diagnostic lab work.
Outpatient,Handles walk-in consultations and minor treatments.
Surgical Ward,Manages post-operative recovery and care.
